UTC 2023-10-29 02:13:04.417801,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.419498,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.421235,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.422934,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.424674,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.426475,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.428082,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.429812,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.431514,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.433235,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.434965,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.436711,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.438497,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.440177,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.441907,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.443624,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.445301,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.447011,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.448906,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.450594,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.452327,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.453984,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.455700,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.457381,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.459098,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.460803,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.462510,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.464286,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.466012,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.467733,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.469543,V:0.00	 Sampling FPS:580,0.00,580
UTC 2023-10-29 02:13:04.471178,V:0.00	 Sampling FPS:580,0.00,580
