UTC 2023-10-29 02:07:06.883886,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.885725,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.887475,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.889078,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.890770,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.892500,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.894277,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.895955,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.897688,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.899390,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.901208,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.902947,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.904598,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.906268,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.907996,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.909772,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.911531,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.913221,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.914881,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.916607,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.918402,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.920141,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.921915,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.923612,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.925339,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.927063,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.928767,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.930489,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.932261,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.933951,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.935655,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.937444,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.939176,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.940754,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.942476,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.944322,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.945961,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.947669,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.949485,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.951197,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.953094,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.954671,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.956394,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.958067,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.959827,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.961592,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.963362,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.965038,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.966695,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.968959,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.970564,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.972300,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.973705,V:0.63	 Sampling FPS:580,0.63,580
UTC 2023-10-29 02:07:06.975596,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.977374,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.979333,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.981659,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.983269,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.984041,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.986103,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.987659,V:0.61	 Sampling FPS:580,0.61,580
UTC 2023-10-29 02:07:06.989845,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.990855,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.992522,V:0.62	 Sampling FPS:580,0.62,580
UTC 2023-10-29 02:07:06.994467,V:0.62	 Sampling FPS:580,0.62,580
