UTC 2023-10-06 06:20:03.552419,In0: 5.06	 In1: 7.31	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.06,7.31,0.56,0.00,142,PSI:1.012,PSI:1.462,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.559166,In0: 5.06	 In1: 7.50	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,7.50,0.37,0.00,142,PSI:1.012,PSI:1.5,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.566150,In0: 5.25	 In1: 6.37	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,6.37,0.19,0.00,142,PSI:1.05,PSI:1.274,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.572819,In0: 4.87	 In1: 7.31	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,4.87,7.31,0.19,0.00,166,PSI:0.974,PSI:1.462,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.579618,In0: 5.25	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.69,0.00,0.00,142,PSI:1.05,PSI:1.538,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.586227,In0: 5.25	 In1: 7.12	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.25,7.12,0.56,0.00,142,PSI:1.05,PSI:1.424,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.593152,In0: 5.06	 In1: 7.31	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,7.31,-0.19,0.00,142,PSI:1.012,PSI:1.462,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.599925,In0: 5.25	 In1: 6.94	 In0_1: 0.75	 In1_1: 0.00	 FPS: 166,5.25,6.94,0.75,0.00,166,PSI:1.05,PSI:1.3880000000000001,PSI:0.15,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.606662,In0: 5.25	 In1: 7.31	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.25,7.31,0.19,0.00,166,PSI:1.05,PSI:1.462,PSI:0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.613543,In0: 4.87	 In1: 6.37	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,6.37,0.19,0.00,142,PSI:0.974,PSI:1.274,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.620217,In0: 5.44	 In1: 7.12	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.44,7.12,0.37,0.00,142,PSI:1.088,PSI:1.424,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.626932,In0: 5.44	 In1: 6.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,6.94,0.00,0.00,142,PSI:1.088,PSI:1.3880000000000001,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.633817,In0: 5.25	 In1: 7.87	 In0_1: 0.56	 In1_1: 0.00	 FPS: 166,5.25,7.87,0.56,0.00,166,PSI:1.05,PSI:1.574,PSI:0.11200000000000002,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.640543,In0: 5.25	 In1: 7.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,7.12,0.19,0.00,142,PSI:1.05,PSI:1.424,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.647446,In0: 5.25	 In1: 6.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,6.75,0.19,0.00,142,PSI:1.05,PSI:1.35,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.654207,In0: 5.06	 In1: 7.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,7.12,0.19,0.00,142,PSI:1.012,PSI:1.424,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.660935,In0: 5.25	 In1: 7.31	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,7.31,-0.19,0.00,166,PSI:1.05,PSI:1.462,PSI:-0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.667662,In0: 5.25	 In1: 6.94	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,6.94,-0.19,0.00,166,PSI:1.05,PSI:1.3880000000000001,PSI:-0.038,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:20:03.674424,In0: 5.44	 In1: 6.75	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.44,6.75,0.56,0.00,142,PSI:1.088,PSI:1.35,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:20:03.681292,In0: 5.44	 In1: 6.94	 In0_1: 0.37	 In1_1: 0.19	 FPS: 142,5.44,6.94,0.37,0.19,142,PSI:1.088,PSI:1.3880000000000001,PSI:0.074,PSI:0.038,PSI:28.4
