UTC 2023-10-06 04:48:15.866604,In0: 4.87	 In1: 537.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,537.94,0.00,0.00,142
UTC 2023-10-06 04:48:15.873226,In0: 5.06	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,537.75,0.00,0.19,142
UTC 2023-10-06 04:48:15.880111,In0: 5.06	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.31,0.00,0.19,142
UTC 2023-10-06 04:48:15.886888,In0: 5.44	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.44,538.50,0.00,0.00,166
UTC 2023-10-06 04:48:15.894034,In0: 5.06	 In1: 537.37	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.06,537.37,-0.19,-0.19,142
UTC 2023-10-06 04:48:15.900405,In0: 5.06	 In1: 537.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,537.56,0.19,0.00,142
UTC 2023-10-06 04:48:15.907378,In0: 5.25	 In1: 538.12	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.25,538.12,0.00,-0.19,142
UTC 2023-10-06 04:48:15.913949,In0: 4.87	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,538.69,0.00,0.00,142
UTC 2023-10-06 04:48:15.920719,In0: 5.06	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,538.12,0.00,0.00,166
UTC 2023-10-06 04:48:15.927616,In0: 5.06	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.06,0.00,0.00,142
UTC 2023-10-06 04:48:15.934265,In0: 5.06	 In1: 537.56	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,537.56,0.19,0.00,142
UTC 2023-10-06 04:48:15.941074,In0: 5.06	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.12,0.00,0.00,142
UTC 2023-10-06 04:48:15.947801,In0: 4.69	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.69,539.25,0.00,0.00,166
UTC 2023-10-06 04:48:15.954626,In0: 5.25	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,538.69,0.00,0.00,142
UTC 2023-10-06 04:48:15.961494,In0: 5.06	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.31,0.00,0.00,142
UTC 2023-10-06 04:48:15.968140,In0: 5.06	 In1: 537.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.56,0.00,0.00,142
UTC 2023-10-06 04:48:15.974962,In0: 5.44	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,537.75,0.00,0.00,142
UTC 2023-10-06 04:48:15.981703,In0: 5.06	 In1: 537.75	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.06,537.75,-0.19,0.00,166
UTC 2023-10-06 04:48:15.988610,In0: 5.06	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.06,0.00,0.00,142
UTC 2023-10-06 04:48:15.995474,In0: 4.87	 In1: 537.37	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,537.37,0.19,0.00,142
UTC 2023-10-06 04:48:16.002096,In0: 4.69	 In1: 537.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.69,537.56,0.00,0.00,142
UTC 2023-10-06 04:48:16.008984,In0: 5.06	 In1: 537.75	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.06,537.75,0.00,-0.19,166
UTC 2023-10-06 04:48:16.015692,In0: 4.87	 In1: 537.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,4.87,537.00,0.19,0.00,166
UTC 2023-10-06 04:48:16.022464,In0: 5.06	 In1: 537.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.19,0.00,0.00,142
UTC 2023-10-06 04:48:16.029391,In0: 5.06	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.75,0.00,0.00,142
UTC 2023-10-06 04:48:16.036018,In0: 4.87	 In1: 537.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,537.00,0.00,0.00,142
UTC 2023-10-06 04:48:16.042974,In0: 4.87	 In1: 537.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,537.56,0.00,0.00,166
UTC 2023-10-06 04:48:16.050272,In0: 5.25	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,537.75,0.00,0.00,142
UTC 2023-10-06 04:48:16.056579,In0: 5.06	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.12,0.00,0.19,142
UTC 2023-10-06 04:48:16.063188,In0: 4.87	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,538.31,0.00,0.19,142
UTC 2023-10-06 04:48:16.069766,In0: 4.87	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,538.50,0.00,0.00,166
UTC 2023-10-06 04:48:16.077145,In0: 5.25	 In1: 537.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,537.37,0.00,0.00,142
UTC 2023-10-06 04:48:16.083312,In0: 4.87	 In1: 537.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,537.75,0.00,0.19,142
UTC 2023-10-06 04:48:16.090457,In0: 4.87	 In1: 537.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,537.94,0.19,0.00,142
UTC 2023-10-06 04:48:16.096896,In0: 4.69	 In1: 536.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.69,536.62,0.00,0.00,142
UTC 2023-10-06 04:48:16.103638,In0: 4.87	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,539.25,0.00,0.00,166
UTC 2023-10-06 04:48:16.110564,In0: 5.25	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,539.06,0.00,0.00,142
UTC 2023-10-06 04:48:16.117305,In0: 5.06	 In1: 537.37	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,537.37,0.19,0.00,142
UTC 2023-10-06 04:48:16.124147,In0: 5.25	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,538.69,0.00,0.19,142
UTC 2023-10-06 04:48:16.130765,In0: 4.87	 In1: 539.06	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,4.87,539.06,0.19,-0.19,166
UTC 2023-10-06 04:48:16.137559,In0: 5.06	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.31,0.00,0.19,142
UTC 2023-10-06 04:48:16.144409,In0: 5.25	 In1: 537.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,537.37,0.00,0.00,142
UTC 2023-10-06 04:48:16.151099,In0: 4.87	 In1: 539.44	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,539.44,0.00,-0.19,142
UTC 2023-10-06 04:48:16.157957,In0: 5.06	 In1: 537.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,537.94,0.00,0.00,142
UTC 2023-10-06 04:48:16.164672,In0: 5.06	 In1: 536.62	 In0_1: 0.19	 In1_1: 0.19	 FPS: 166,5.06,536.62,0.19,0.19,166
