UTC 2023-10-06 04:42:43.136451,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136545,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136580,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136614,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136647,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136743,CountsCPS:0.00	 Sampling FPS:555.56	 PrintFPS:111.11,0.00,555.56,111.11
UTC 2023-10-06 04:42:43.136777,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136808,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136839,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136870,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136899,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.136989,CountsCPS:0.00	 Sampling FPS:625.00	 PrintFPS:125.00,0.00,625.00,125.00
UTC 2023-10-06 04:42:43.137019,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137055,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137090,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137121,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137151,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137243,CountsCPS:0.00	 Sampling FPS:625.00	 PrintFPS:125.00,0.00,625.00,125.00
UTC 2023-10-06 04:42:43.137271,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137301,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137340,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137370,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137400,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137490,CountsCPS:0.00	 Sampling FPS:555.56	 PrintFPS:111.11,0.00,555.56,111.11
UTC 2023-10-06 04:42:43.137519,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137548,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137577,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137616,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137645,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137737,CountsCPS:0.00	 Sampling FPS:555.56	 PrintFPS:111.11,0.00,555.56,111.11
UTC 2023-10-06 04:42:43.137766,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137812,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137857,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137892,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.137927,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138031,CountsCPS:0.00	 Sampling FPS:625.00	 PrintFPS:125.00,0.00,625.00,125.00
UTC 2023-10-06 04:42:43.138064,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138096,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138125,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138155,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138184,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138280,CountsCPS:0.00	 Sampling FPS:625.00	 PrintFPS:125.00,0.00,625.00,125.00
UTC 2023-10-06 04:42:43.138310,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138338,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138367,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138396,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138424,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138520,CountsCPS:0.00	 Sampling FPS:555.56	 PrintFPS:111.11,0.00,555.56,111.11
UTC 2023-10-06 04:42:43.138551,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138581,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138610,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138639,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138668,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138779,CountsCPS:0.00	 Sampling FPS:555.56	 PrintFPS:111.11,0.00,555.56,111.11
UTC 2023-10-06 04:42:43.138809,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138838,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138867,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138895,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.138924,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.139016,CountsCPS:0.00	 Sampling FPS:625.00	 PrintFPS:125.00,0.00,625.00,125.00
UTC 2023-10-06 04:42:43.139050,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.139079,Raw mV:0.00,0.00
UTC 2023-10-06 04:42:43.139107,Raw mV:0.00,0.00
