UTC 2023-10-06 04:28:44.708676,In0: 5.06	 In1: 531.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.94,0.00,0.00,142
UTC 2023-10-06 04:28:44.715497,In0: 5.06	 In1: 532.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.50,0.00,0.00,142
UTC 2023-10-06 04:28:44.722284,In0: 5.06	 In1: 534.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,534.37,0.00,0.19,142
UTC 2023-10-06 04:28:44.729023,In0: 5.06	 In1: 531.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,531.37,0.00,0.00,142
UTC 2023-10-06 04:28:44.735808,In0: 5.06	 In1: 533.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,533.25,0.00,0.00,166
UTC 2023-10-06 04:28:44.742638,In0: 4.87	 In1: 532.87	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,4.87,532.87,0.19,-0.19,142
UTC 2023-10-06 04:28:44.749434,In0: 4.87	 In1: 531.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,531.00,0.00,0.00,142
UTC 2023-10-06 04:28:44.756157,In0: 5.06	 In1: 532.31	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,532.31,0.19,0.00,142
UTC 2023-10-06 04:28:44.763077,In0: 5.25	 In1: 531.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,531.94,0.00,0.00,166
UTC 2023-10-06 04:28:44.769958,In0: 5.06	 In1: 532.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,532.12,0.00,0.19,142
UTC 2023-10-06 04:28:44.776491,In0: 5.06	 In1: 533.06	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,533.06,0.19,0.00,142
UTC 2023-10-06 04:28:44.783338,In0: 4.87	 In1: 533.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,533.81,0.00,0.00,142
UTC 2023-10-06 04:28:44.790071,In0: 4.87	 In1: 530.62	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,4.87,530.62,-0.19,0.00,142
UTC 2023-10-06 04:28:44.796940,In0: 5.06	 In1: 533.25	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,533.25,0.19,0.00,166
UTC 2023-10-06 04:28:44.803689,In0: 5.25	 In1: 531.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,531.56,0.00,0.00,142
UTC 2023-10-06 04:28:44.810397,In0: 5.06	 In1: 532.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,532.31,0.00,0.00,142
UTC 2023-10-06 04:28:44.817227,In0: 4.87	 In1: 532.50	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,532.50,0.00,0.19,142
UTC 2023-10-06 04:28:44.823958,In0: 5.25	 In1: 532.31	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,532.31,-0.19,0.00,166
UTC 2023-10-06 04:28:44.830788,In0: 5.06	 In1: 531.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,531.00,0.19,0.00,142
UTC 2023-10-06 04:28:44.837642,In0: 5.25	 In1: 533.25	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,533.25,0.00,0.19,142
