UTC 2023-10-06 04:30:21.710386,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710517,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710567,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710627,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.710670,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710711,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710752,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710793,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710833,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710899,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.710941,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.710981,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711025,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711066,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711107,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711164,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.711205,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711244,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711287,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711327,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711367,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711424,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.711463,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711502,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711542,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711581,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711620,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711680,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.711720,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711762,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711802,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711844,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711883,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.711939,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.711979,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712019,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712061,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712101,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712141,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712196,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.712237,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712276,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712317,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712356,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712397,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712457,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.712496,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712536,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712576,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712616,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712656,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712712,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.712754,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712794,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712839,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712880,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712922,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.712980,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.713019,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713058,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713097,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713138,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713178,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713239,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.713281,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713321,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713360,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713398,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713438,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713494,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.713533,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713572,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713611,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713654,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713693,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713750,Sampling FPS:625.00,625
UTC 2023-10-06 04:30:21.713790,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713829,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713866,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713902,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.713938,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714006,Sampling FPS:555.56,555.56
UTC 2023-10-06 04:30:21.714045,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714080,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714118,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714154,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714187,Raw mV:0.00,0
UTC 2023-10-06 04:30:21.714237,Sampling FPS:625.00,625
