UTC 2023-10-06 04:41:25.377651,In0_1: 0.00	 In1_1: -0.19	 FPS: 142,0.00,-0.19,142
UTC 2023-10-06 04:41:25.628581,In0: 5.06	 In1: 540.75	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,540.75,0.00,-0.19,142
UTC 2023-10-06 04:41:25.635276,In0: 5.25	 In1: 541.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,541.31,0.00,0.00,142
UTC 2023-10-06 04:41:25.642215,In0: 4.87	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,539.06,0.00,0.00,166
UTC 2023-10-06 04:41:25.648849,In0: 4.87	 In1: 538.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,538.87,0.00,0.00,166
UTC 2023-10-06 04:41:25.655691,In0: 4.87	 In1: 540.56	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,4.87,540.56,-0.19,0.19,142
UTC 2023-10-06 04:41:25.662472,In0: 5.25	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,539.25,0.00,0.00,142
UTC 2023-10-06 04:41:25.669283,In0: 4.87	 In1: 540.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,540.75,0.19,0.00,142
UTC 2023-10-06 04:41:25.676089,In0: 5.06	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,539.81,0.00,0.00,166
UTC 2023-10-06 04:41:25.682748,In0: 4.69	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.69,539.25,0.00,0.00,142
UTC 2023-10-06 04:41:25.689582,In0: 5.06	 In1: 538.50	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,538.50,-0.19,0.00,142
UTC 2023-10-06 04:41:25.696337,In0: 5.06	 In1: 538.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.31,0.00,0.00,142
UTC 2023-10-06 04:41:25.703077,In0: 5.25	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,540.00,0.00,0.00,166
UTC 2023-10-06 04:41:25.710227,In0: 5.06	 In1: 540.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,5.06,540.00,0.19,0.00,166
UTC 2023-10-06 04:41:25.716622,In0: 4.87	 In1: 540.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,540.37,0.00,0.00,142
UTC 2023-10-06 04:41:25.723419,In0: 5.06	 In1: 538.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.12,0.00,0.00,142
UTC 2023-10-06 04:41:25.730211,In0: 4.87	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,539.81,0.00,0.00,142
UTC 2023-10-06 04:41:25.736923,In0: 4.87	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,539.06,0.00,0.00,166
UTC 2023-10-06 04:41:25.743892,In0: 5.06	 In1: 540.37	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.06,540.37,0.19,-0.19,142
UTC 2023-10-06 04:41:25.750473,In0: 4.87	 In1: 540.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,540.75,0.00,0.00,142
UTC 2023-10-06 04:41:25.757291,In0: 5.06	 In1: 538.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.87,0.00,0.00,142
UTC 2023-10-06 04:41:25.764112,In0: 4.87	 In1: 540.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,540.75,0.19,0.00,142
UTC 2023-10-06 04:41:25.770823,In0: 5.06	 In1: 540.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,540.56,0.00,0.00,166
UTC 2023-10-06 04:41:25.777768,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.62,0.00,0.00,142
UTC 2023-10-06 04:41:25.784474,In0: 5.06	 In1: 539.44	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,539.44,0.00,0.19,142
UTC 2023-10-06 04:41:25.791430,In0: 5.06	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,540.19,0.00,0.19,142
UTC 2023-10-06 04:41:25.798065,In0: 5.25	 In1: 540.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,540.56,0.00,0.00,166
UTC 2023-10-06 04:41:25.805050,In0: 5.06	 In1: 539.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.44,0.00,0.00,142
UTC 2023-10-06 04:41:25.811621,In0: 5.25	 In1: 540.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,540.75,0.00,0.00,142
UTC 2023-10-06 04:41:25.818634,In0: 5.06	 In1: 541.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,541.87,0.00,0.00,142
UTC 2023-10-06 04:41:25.825354,In0: 4.87	 In1: 539.44	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,4.87,539.44,-0.19,0.00,142
UTC 2023-10-06 04:41:25.832059,In0: 5.25	 In1: 541.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.25,541.12,0.00,0.19,166
UTC 2023-10-06 04:41:25.838785,In0: 5.06	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.00,0.00,0.00,142
UTC 2023-10-06 04:41:25.845602,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,539.62,0.00,0.19,142
UTC 2023-10-06 04:41:25.852258,In0: 4.87	 In1: 540.00	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,540.00,0.19,0.00,142
UTC 2023-10-06 04:41:25.859223,In0: 5.06	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,540.00,0.00,0.00,166
UTC 2023-10-06 04:41:25.865875,In0: 4.69	 In1: 539.06	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,4.69,539.06,0.19,0.19,142
UTC 2023-10-06 04:41:25.872540,In0: 5.06	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.19,0.00,0.00,142
UTC 2023-10-06 04:41:25.879441,In0: 4.87	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,539.62,0.00,0.19,142
UTC 2023-10-06 04:41:25.886265,In0: 4.87	 In1: 540.19	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,4.87,540.19,0.00,-0.19,142
UTC 2023-10-06 04:41:25.893379,In0: 5.06	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,539.81,0.00,0.00,166
UTC 2023-10-06 04:41:25.899630,In0: 5.06	 In1: 541.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,541.31,0.00,0.00,142
UTC 2023-10-06 04:41:25.906688,In0: 5.06	 In1: 540.37	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,540.37,-0.19,0.00,142
UTC 2023-10-06 04:41:25.913206,In0: 5.25	 In1: 537.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,537.00,0.00,0.00,142
UTC 2023-10-06 04:41:25.920104,In0: 4.87	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,4.87,540.00,0.00,0.19,166
UTC 2023-10-06 04:41:25.927250,In0: 5.06	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.81,0.00,0.00,142
UTC 2023-10-06 04:41:25.933692,In0: 5.06	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.19,0.00,0.00,142
UTC 2023-10-06 04:41:25.940506,In0: 5.06	 In1: 539.06	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,539.06,0.00,-0.19,142
UTC 2023-10-06 04:41:25.947170,In0: 5.06	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.19,0.00,0.00,142
UTC 2023-10-06 04:41:25.953969,In0: 5.25	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,539.81,0.00,0.00,166
UTC 2023-10-06 04:41:25.961023,In0: 5.06	 In1: 540.94	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,540.94,0.00,-0.19,142
UTC 2023-10-06 04:41:25.967458,In0: 5.06	 In1: 540.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.37,0.00,0.00,142
UTC 2023-10-06 04:41:25.974408,In0: 5.06	 In1: 540.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.37,0.00,0.00,142
UTC 2023-10-06 04:41:25.981026,In0: 5.06	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,540.00,0.00,0.00,166
UTC 2023-10-06 04:41:25.987804,In0: 5.06	 In1: 540.19	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,540.19,0.00,-0.19,142
UTC 2023-10-06 04:41:25.994631,In0: 5.06	 In1: 540.00	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,540.00,0.00,-0.19,142
UTC 2023-10-06 04:41:26.001476,In0: 5.06	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,540.19,0.00,0.19,142
UTC 2023-10-06 04:41:26.008236,In0: 4.87	 In1: 539.44	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,539.44,0.00,0.19,142
UTC 2023-10-06 04:41:26.014818,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,539.62,0.00,0.00,166
UTC 2023-10-06 04:41:26.021610,In0: 4.87	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,540.19,0.00,0.19,142
UTC 2023-10-06 04:41:26.028438,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.62,0.00,0.00,142
UTC 2023-10-06 04:41:26.035309,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.62,0.00,0.00,142
UTC 2023-10-06 04:41:26.042488,In0: 5.06	 In1: 539.81	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.06,539.81,0.00,-0.19,166
UTC 2023-10-06 04:41:26.048894,In0: 5.06	 In1: 540.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.06,540.75,0.00,0.19,166
UTC 2023-10-06 04:41:26.055631,In0: 5.25	 In1: 539.44	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,539.44,0.19,0.00,142
UTC 2023-10-06 04:41:26.062326,In0: 5.06	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.00,0.00,0.00,142
UTC 2023-10-06 04:41:26.069067,In0: 5.06	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,540.19,0.00,0.19,142
UTC 2023-10-06 04:41:26.076258,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.06,539.62,0.00,-0.19,166
UTC 2023-10-06 04:41:26.082655,In0: 5.06	 In1: 540.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.94,0.00,0.00,142
UTC 2023-10-06 04:41:26.089490,In0: 5.06	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,539.06,0.00,0.19,142
UTC 2023-10-06 04:41:26.096239,In0: 5.06	 In1: 540.19	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,540.19,0.00,-0.19,142
UTC 2023-10-06 04:41:26.103101,In0: 5.06	 In1: 540.00	 In0_1: 0.00	 In1_1: -0.37	 FPS: 166,5.06,540.00,0.00,-0.37,166
UTC 2023-10-06 04:41:26.109958,In0: 5.06	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,539.81,0.00,0.00,166
UTC 2023-10-06 04:41:26.116591,In0: 5.06	 In1: 539.44	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,539.44,0.00,0.19,142
UTC 2023-10-06 04:41:26.123350,In0: 4.87	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,539.25,0.00,0.00,142
UTC 2023-10-06 04:41:26.130286,In0: 4.87	 In1: 539.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,539.44,0.00,0.00,142
UTC 2023-10-06 04:41:26.136925,In0: 4.69	 In1: 540.00	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,4.69,540.00,-0.19,0.00,166
UTC 2023-10-06 04:41:26.143706,In0: 5.06	 In1: 540.37	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,540.37,0.00,-0.19,142
UTC 2023-10-06 04:41:26.150459,In0: 5.06	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.25,0.00,0.00,142
UTC 2023-10-06 04:41:26.157326,In0: 5.25	 In1: 538.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,538.87,0.00,0.00,142
UTC 2023-10-06 04:41:26.164012,In0: 5.06	 In1: 540.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,540.56,0.00,0.00,166
UTC 2023-10-06 04:41:26.170862,In0: 5.06	 In1: 540.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.37,0.00,0.00,142
UTC 2023-10-06 04:41:26.177564,In0: 5.44	 In1: 540.56	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.44,540.56,0.00,-0.19,142
UTC 2023-10-06 04:41:26.184312,In0: 5.06	 In1: 540.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.56,0.00,0.00,142
UTC 2023-10-06 04:41:26.191426,In0: 5.06	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,538.69,0.00,0.19,142
UTC 2023-10-06 04:41:26.197886,In0: 4.87	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,540.00,0.00,0.00,166
UTC 2023-10-06 04:41:26.204755,In0: 5.06	 In1: 540.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.75,0.00,0.00,142
UTC 2023-10-06 04:41:26.211519,In0: 5.06	 In1: 541.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,541.12,0.00,0.00,142
UTC 2023-10-06 04:41:26.218334,In0: 4.87	 In1: 539.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,4.87,539.81,0.19,0.00,142
UTC 2023-10-06 04:41:26.225707,In0: 4.87	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,4.87,540.00,0.00,0.19,166
UTC 2023-10-06 04:41:26.231795,In0: 5.06	 In1: 539.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,539.62,0.19,0.00,142
UTC 2023-10-06 04:41:26.238685,In0: 5.06	 In1: 540.19	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,540.19,-0.19,0.00,142
UTC 2023-10-06 04:41:26.245365,In0: 5.06	 In1: 539.81	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,539.81,-0.19,0.00,142
UTC 2023-10-06 04:41:26.252184,In0: 5.06	 In1: 540.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.56,0.00,0.00,142
UTC 2023-10-06 04:41:26.259390,In0: 5.06	 In1: 540.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,540.00,0.00,0.00,166
UTC 2023-10-06 04:41:26.265792,In0: 5.06	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.81,0.00,0.00,142
UTC 2023-10-06 04:41:26.272567,In0: 5.06	 In1: 538.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,538.69,0.19,0.00,142
UTC 2023-10-06 04:41:26.279265,In0: 4.87	 In1: 538.50	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,538.50,0.00,0.19,142
UTC 2023-10-06 04:41:26.285986,In0: 5.06	 In1: 540.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,540.37,0.00,0.00,166
UTC 2023-10-06 04:41:26.292966,In0: 4.87	 In1: 538.31	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,4.87,538.31,-0.19,-0.19,142
UTC 2023-10-06 04:41:26.299664,In0: 5.25	 In1: 539.25	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,539.25,-0.19,0.00,142
UTC 2023-10-06 04:41:26.306608,In0: 4.87	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,539.62,0.00,0.00,142
UTC 2023-10-06 04:41:26.313191,In0: 5.06	 In1: 539.81	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,539.81,0.00,-0.19,142
UTC 2023-10-06 04:41:26.319934,In0: 5.06	 In1: 540.75	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.06,540.75,0.00,-0.19,166
UTC 2023-10-06 04:41:26.327122,In0: 5.06	 In1: 539.81	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,539.81,0.19,0.00,142
UTC 2023-10-06 04:41:26.333516,In0: 5.25	 In1: 539.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,539.06,0.00,0.00,142
UTC 2023-10-06 04:41:26.340296,In0: 5.06	 In1: 540.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,540.37,0.00,0.00,142
UTC 2023-10-06 04:41:26.347079,In0: 5.06	 In1: 540.00	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.06,540.00,-0.19,0.00,166
UTC 2023-10-06 04:41:26.353766,In0: 5.25	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,539.81,0.00,0.00,166
UTC 2023-10-06 04:41:26.360653,In0: 5.25	 In1: 540.56	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.25,540.56,0.00,-0.19,142
UTC 2023-10-06 04:41:26.367472,In0: 5.06	 In1: 538.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.69,0.00,0.00,142
UTC 2023-10-06 04:41:26.374303,In0: 4.87	 In1: 539.44	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,4.87,539.44,0.00,0.19,142
UTC 2023-10-06 04:41:26.380960,In0: 5.25	 In1: 539.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,539.25,0.00,0.00,166
UTC 2023-10-06 04:41:26.387767,In0: 5.06	 In1: 538.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,538.87,0.00,0.00,142
UTC 2023-10-06 04:41:26.394543,In0: 4.50	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.50,540.19,0.00,0.00,142
UTC 2023-10-06 04:41:26.401261,In0: 5.06	 In1: 538.87	 In0_1: -0.19	 In1_1: 0.19	 FPS: 142,5.06,538.87,-0.19,0.19,142
UTC 2023-10-06 04:41:26.408363,In0: 5.06	 In1: 539.81	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,539.81,0.00,0.19,142
UTC 2023-10-06 04:41:26.414875,In0: 5.06	 In1: 539.81	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.06,539.81,-0.19,0.00,166
UTC 2023-10-06 04:41:26.421742,In0: 5.06	 In1: 540.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,540.94,0.19,0.00,142
UTC 2023-10-06 04:41:26.428479,In0: 5.25	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,540.19,0.00,0.19,142
UTC 2023-10-06 04:41:26.435301,In0: 4.87	 In1: 540.94	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,4.87,540.94,-0.19,-0.19,142
UTC 2023-10-06 04:41:26.442293,In0: 4.87	 In1: 540.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,540.56,0.00,0.00,166
UTC 2023-10-06 04:41:26.448823,In0: 4.69	 In1: 540.94	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,4.69,540.94,0.00,0.19,166
UTC 2023-10-06 04:41:26.455697,In0: 4.87	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,540.19,0.00,0.00,142
UTC 2023-10-06 04:41:26.462377,In0: 4.87	 In1: 540.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,540.19,0.00,0.00,142
UTC 2023-10-06 04:41:26.469225,In0: 5.06	 In1: 539.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,539.62,0.00,0.00,142
UTC 2023-10-06 04:41:26.476186,In0: 5.25	 In1: 540.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,540.56,-0.19,0.00,166
