UTC 2023-10-06 04:52:11.491395,In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.00,0.00,142
UTC 2023-10-06 04:52:11.742347,In0: 5.25	 In1: 536.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,536.44,0.00,0.00,142
UTC 2023-10-06 04:52:11.748964,In0: 5.06	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,535.12,0.00,0.19,142
UTC 2023-10-06 04:52:11.755696,In0: 5.25	 In1: 534.94	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,534.94,0.19,0.00,142
UTC 2023-10-06 04:52:11.762655,In0: 5.06	 In1: 534.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,534.37,0.00,0.00,166
UTC 2023-10-06 04:52:11.769351,In0: 5.06	 In1: 534.56	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,534.56,0.00,-0.19,142
UTC 2023-10-06 04:52:11.776078,In0: 5.06	 In1: 534.00	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,534.00,0.00,0.19,142
UTC 2023-10-06 04:52:11.782874,In0: 5.06	 In1: 536.06	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.06,536.06,-0.19,-0.19,142
UTC 2023-10-06 04:52:11.789691,In0: 5.25	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,535.12,0.00,0.00,142
UTC 2023-10-06 04:52:11.796520,In0: 5.06	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,535.31,0.00,0.00,166
UTC 2023-10-06 04:52:11.803178,In0: 5.06	 In1: 535.31	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,535.31,0.00,0.19,142
UTC 2023-10-06 04:52:11.810118,In0: 5.06	 In1: 535.87	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,535.87,0.00,-0.19,142
UTC 2023-10-06 04:52:11.816788,In0: 5.06	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,534.56,0.00,0.00,142
UTC 2023-10-06 04:52:11.823705,In0: 4.87	 In1: 534.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,4.87,534.56,0.00,0.00,166
UTC 2023-10-06 04:52:11.830431,In0: 5.06	 In1: 534.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,534.75,0.19,0.00,142
UTC 2023-10-06 04:52:11.837132,In0: 5.25	 In1: 534.56	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.25,534.56,0.19,0.19,142
UTC 2023-10-06 04:52:11.844061,In0: 5.06	 In1: 533.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,533.81,0.00,0.00,142
UTC 2023-10-06 04:52:11.850663,In0: 5.06	 In1: 534.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,534.75,0.19,0.00,142
UTC 2023-10-06 04:52:11.857483,In0: 5.25	 In1: 534.19	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.25,534.19,0.00,0.19,166
UTC 2023-10-06 04:52:11.864257,In0: 5.25	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,535.12,0.00,0.00,142
UTC 2023-10-06 04:52:11.870973,In0: 5.25	 In1: 535.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,535.69,0.19,0.00,142
UTC 2023-10-06 04:52:11.877975,In0: 5.06	 In1: 535.87	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,535.87,0.19,0.00,142
UTC 2023-10-06 04:52:11.884629,In0: 5.25	 In1: 535.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,535.12,0.00,0.00,166
UTC 2023-10-06 04:52:11.891525,In0: 5.06	 In1: 534.94	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,534.94,0.00,0.19,142
UTC 2023-10-06 04:52:11.898103,In0: 5.25	 In1: 534.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,534.75,0.00,0.00,142
