UTC 2023-10-29 02:09:46.581319,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.582981,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.584763,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.586466,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.588230,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.589883,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.591633,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.593314,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.595001,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.596879,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.598553,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.600250,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.602002,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.603729,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.605520,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.607131,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.608879,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.610643,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.612318,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.614014,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.615814,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.617588,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.619195,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.620906,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.622720,V:0.20	 Sampling FPS:580,0.20,580
UTC 2023-10-29 02:09:46.624403,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.626140,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.627853,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.629564,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.631275,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.633068,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.634757,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.636466,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.638163,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.639899,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.641682,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.643382,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.645079,V:0.23	 Sampling FPS:580,0.23,580
UTC 2023-10-29 02:09:46.646834,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.648526,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.650236,V:0.21	 Sampling FPS:580,0.21,580
UTC 2023-10-29 02:09:46.651931,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.653633,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.655385,V:0.22	 Sampling FPS:580,0.22,580
UTC 2023-10-29 02:09:46.657162,V:0.22	 Sampling FPS:580,0.22,580
