UTC 2023-10-29 01:46:21.103652,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.110271,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,0.01,0.00,0.00,142,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.117167,In0: -0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,-0.02,0.00,0.00,142,PSI:-0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.122705,In0: 0.04	 In1: 0.01	 In0_1: -0.00	 In1_1: 0.00	 FPS: 200,0.04,0.01,-0.00,0.00,200,PSI:0.008,PSI:0.002,PSI:-0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.128259,In0: -0.03	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.03,0.05,0.00,0.00,166,PSI:-0.006,PSI:0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.134192,In0: 0.01	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.03,0.00,0.00,166,PSI:0.002,PSI:0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.140676,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.01,0.00,0.00,200,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.147158,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: -0.00	 FPS: 125,0.02,0.01,0.00,-0.00,125,PSI:0.004,PSI:0.002,PSI:0.0,PSI:-0.0,PSI:25.0
UTC 2023-10-29 01:46:21.152657,In0: 0.01	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.01,0.00,0.00,0.00,200,PSI:0.002,PSI:0.0,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:46:21.159201,In0: 0.01	 In1: -0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.01,-0.02,0.00,0.00,142,PSI:0.002,PSI:-0.004,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:46:21.165769,In0: 0.02	 In1: 0.05	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.05,0.00,0.00,166,PSI:0.004,PSI:0.01,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.171283,In0: -0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.00,0.01,0.00,0.00,166,PSI:-0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:46:21.176669,In0: -0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,-0.00,0.01,0.00,0.00,200,PSI:-0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
