UTC 2023-10-06 01:06:25.099435,In0_1: 560.06	 In1_1: 555.94	 FPS: 142,560.06,555.94,142
UTC 2023-10-06 01:06:25.349469,In0: -0.19	 In1: -1.87	 In0_1: 561.75	 In1_1: 561.19	 FPS: 166,-0.19,-1.87,561.75,561.19,166
UTC 2023-10-06 01:06:25.356477,In0: -1.50	 In1: -2.44	 In0_1: 561.56	 In1_1: 556.69	 FPS: 142,-1.50,-2.44,561.56,556.69,142
UTC 2023-10-06 01:06:25.363086,In0: -2.25	 In1: -1.12	 In0_1: 565.50	 In1_1: 552.19	 FPS: 142,-2.25,-1.12,565.50,552.19,142
UTC 2023-10-06 01:06:25.370012,In0: -0.56	 In1: -2.25	 In0_1: 559.31	 In1_1: 559.69	 FPS: 142,-0.56,-2.25,559.31,559.69,142
UTC 2023-10-06 01:06:25.376687,In0: -2.25	 In1: 0.00	 In0_1: 556.69	 In1_1: 560.06	 FPS: 142,-2.25,0.00,556.69,560.06,142
UTC 2023-10-06 01:06:25.383541,In0: -1.69	 In1: 0.00	 In0_1: 561.94	 In1_1: 559.69	 FPS: 166,-1.69,0.00,561.94,559.69,166
UTC 2023-10-06 01:06:25.390565,In0: -2.25	 In1: -0.75	 In0_1: 555.75	 In1_1: 555.19	 FPS: 142,-2.25,-0.75,555.75,555.19,142
UTC 2023-10-06 01:06:25.397333,In0: -0.56	 In1: -0.94	 In0_1: 560.25	 In1_1: 558.37	 FPS: 142,-0.56,-0.94,560.25,558.37,142
UTC 2023-10-06 01:06:25.403948,In0: -2.44	 In1: 0.00	 In0_1: 559.31	 In1_1: 559.12	 FPS: 142,-2.44,0.00,559.31,559.12,142
UTC 2023-10-06 01:06:25.410945,In0: -1.12	 In1: -0.56	 In0_1: 555.75	 In1_1: 555.37	 FPS: 142,-1.12,-0.56,555.75,555.37,142
UTC 2023-10-06 01:06:25.417744,In0: -0.37	 In1: -1.69	 In0_1: 555.94	 In1_1: 557.81	 FPS: 166,-0.37,-1.69,555.94,557.81,166
UTC 2023-10-06 01:06:25.424696,In0: -1.87	 In1: -2.81	 In0_1: 563.06	 In1_1: 558.56	 FPS: 142,-1.87,-2.81,563.06,558.56,142
UTC 2023-10-06 01:06:25.431402,In0: -1.69	 In1: -1.50	 In0_1: 560.44	 In1_1: 556.31	 FPS: 142,-1.69,-1.50,560.44,556.31,142
UTC 2023-10-06 01:06:25.438051,In0: -0.37	 In1: -0.37	 In0_1: 559.12	 In1_1: 556.31	 FPS: 142,-0.37,-0.37,559.12,556.31,142
UTC 2023-10-06 01:06:25.444786,In0: -1.87	 In1: -1.69	 In0_1: 559.31	 In1_1: 559.69	 FPS: 142,-1.87,-1.69,559.31,559.69,142
UTC 2023-10-06 01:06:25.451666,In0: -0.37	 In1: -0.75	 In0_1: 560.44	 In1_1: 556.31	 FPS: 166,-0.37,-0.75,560.44,556.31,166
UTC 2023-10-06 01:06:25.458348,In0: -2.06	 In1: -2.06	 In0_1: 559.69	 In1_1: 552.37	 FPS: 142,-2.06,-2.06,559.69,552.37,142
UTC 2023-10-06 01:06:25.465040,In0: 0.19	 In1: -0.56	 In0_1: 559.12	 In1_1: 552.94	 FPS: 142,0.19,-0.56,559.12,552.94,142
UTC 2023-10-06 01:06:25.472015,In0: -1.50	 In1: -2.06	 In0_1: 558.56	 In1_1: 559.12	 FPS: 142,-1.50,-2.06,558.56,559.12,142
UTC 2023-10-06 01:06:25.478619,In0: -0.19	 In1: -0.56	 In0_1: 559.12	 In1_1: 559.50	 FPS: 142,-0.19,-0.56,559.12,559.50,142
UTC 2023-10-06 01:06:25.485432,In0: -1.31	 In1: -1.69	 In0_1: 559.12	 In1_1: 558.56	 FPS: 166,-1.31,-1.69,559.12,558.56,166
UTC 2023-10-06 01:06:25.492301,In0: -1.50	 In1: -1.31	 In0_1: 562.69	 In1_1: 554.62	 FPS: 142,-1.50,-1.31,562.69,554.62,142
UTC 2023-10-06 01:06:25.499093,In0: -1.31	 In1: -1.50	 In0_1: 558.94	 In1_1: 562.12	 FPS: 142,-1.31,-1.50,558.94,562.12,142
UTC 2023-10-06 01:06:25.505939,In0: -1.12	 In1: -1.50	 In0_1: 559.87	 In1_1: 552.75	 FPS: 142,-1.12,-1.50,559.87,552.75,142
UTC 2023-10-06 01:06:25.512712,In0: -0.37	 In1: -2.81	 In0_1: 556.31	 In1_1: 558.75	 FPS: 142,-0.37,-2.81,556.31,558.75,142
UTC 2023-10-06 01:06:25.519502,In0: -2.06	 In1: -0.75	 In0_1: 556.31	 In1_1: 562.69	 FPS: 166,-2.06,-0.75,556.31,562.69,166
UTC 2023-10-06 01:06:25.526232,In0: -0.56	 In1: -1.31	 In0_1: 557.81	 In1_1: 558.37	 FPS: 142,-0.56,-1.31,557.81,558.37,142
UTC 2023-10-06 01:06:25.533055,In0: -0.75	 In1: -2.62	 In0_1: 561.37	 In1_1: 552.56	 FPS: 142,-0.75,-2.62,561.37,552.56,142
UTC 2023-10-06 01:06:25.539947,In0: -1.12	 In1: -1.69	 In0_1: 553.12	 In1_1: 559.87	 FPS: 142,-1.12,-1.69,553.12,559.87,142
UTC 2023-10-06 01:06:25.546616,In0: -0.94	 In1: -1.12	 In0_1: 558.56	 In1_1: 555.75	 FPS: 142,-0.94,-1.12,558.56,555.75,142
