UTC 2023-10-06 06:22:41.911998,In0: 5.06	 In1: 7.87	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,5.06,7.87,0.19,-0.19,166,PSI:1.012,PSI:1.574,PSI:0.038,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:22:41.918564,In0: 5.25	 In1: 6.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,6.94,0.00,0.00,142,PSI:1.05,PSI:1.3880000000000001,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.925453,In0: 5.06	 In1: 7.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,7.69,0.19,0.00,142,PSI:1.012,PSI:1.538,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.932161,In0: 5.25	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.69,0.00,0.00,142,PSI:1.05,PSI:1.538,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.938946,In0: 5.25	 In1: 7.87	 In0_1: 0.37	 In1_1: 0.19	 FPS: 166,5.25,7.87,0.37,0.19,166,PSI:1.05,PSI:1.574,PSI:0.074,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:22:41.945750,In0: 5.25	 In1: 7.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,7.69,0.19,0.00,142,PSI:1.05,PSI:1.538,PSI:0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.952419,In0: 5.25	 In1: 6.75	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,6.75,0.37,0.00,142,PSI:1.05,PSI:1.35,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.959390,In0: 5.25	 In1: 6.00	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,6.00,-0.19,0.00,142,PSI:1.05,PSI:1.2,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.966019,In0: 5.44	 In1: 5.62	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.44,5.62,0.00,-0.19,142,PSI:1.088,PSI:1.124,PSI:0.0,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:22:41.972814,In0: 4.87	 In1: 5.81	 In0_1: 0.37	 In1_1: 0.19	 FPS: 166,4.87,5.81,0.37,0.19,166,PSI:0.974,PSI:1.162,PSI:0.074,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:22:41.979659,In0: 5.25	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,5.44,0.37,0.00,142,PSI:1.05,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.986362,In0: 5.06	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,5.44,0.37,0.00,142,PSI:1.012,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:41.993146,In0: 5.25	 In1: 5.44	 In0_1: 0.75	 In1_1: 0.19	 FPS: 142,5.25,5.44,0.75,0.19,142,PSI:1.05,PSI:1.088,PSI:0.15,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:22:41.999947,In0: 5.44	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.19	 FPS: 166,5.44,5.44,0.37,0.19,166,PSI:1.088,PSI:1.088,PSI:0.074,PSI:0.038,PSI:33.2
UTC 2023-10-06 06:22:42.006681,In0: 5.06	 In1: 5.25	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,5.25,0.37,0.00,142,PSI:1.012,PSI:1.05,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:22:42.013502,In0: 5.06	 In1: 5.44	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,5.44,0.37,0.00,142,PSI:1.012,PSI:1.088,PSI:0.074,PSI:0.0,PSI:28.4
