UTC 2023-10-06 05:59:12.410209,In0: 5.06	 In1: 7.87	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,7.87,-0.19,0.00,142
UTC 2023-10-06 05:59:12.417016,In0: 5.25	 In1: 8.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,8.06,0.00,0.00,166
UTC 2023-10-06 05:59:12.423801,In0: 5.44	 In1: 7.69	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.44,7.69,0.19,0.19,142
UTC 2023-10-06 05:59:12.430738,In0: 5.25	 In1: 8.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.44,0.00,0.00,142
UTC 2023-10-06 05:59:12.437568,In0: 5.25	 In1: 8.06	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,8.06,0.19,0.00,142
UTC 2023-10-06 05:59:12.444324,In0: 5.25	 In1: 8.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,8.81,0.00,0.00,166
UTC 2023-10-06 05:59:12.450967,In0: 5.06	 In1: 7.69	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.06,7.69,0.00,-0.19,142
UTC 2023-10-06 05:59:12.457958,In0: 5.25	 In1: 7.12	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,7.12,0.00,0.19,142
UTC 2023-10-06 05:59:12.464604,In0: 5.25	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.31,0.00,0.00,142
UTC 2023-10-06 05:59:12.471474,In0: 5.25	 In1: 6.94	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.25,6.94,-0.19,-0.19,142
UTC 2023-10-06 05:59:12.478371,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,7.31,0.00,0.00,166
UTC 2023-10-06 05:59:12.485046,In0: 5.06	 In1: 7.87	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,7.87,0.19,0.00,142
UTC 2023-10-06 05:59:12.491714,In0: 5.06	 In1: 8.06	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,8.06,-0.19,0.00,142
UTC 2023-10-06 05:59:12.498814,In0: 5.44	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,7.69,0.00,0.00,142
UTC 2023-10-06 05:59:12.505149,In0: 4.87	 In1: 7.12	 In0_1: 0.19	 In1_1: 0.00	 FPS: 166,4.87,7.12,0.19,0.00,166
UTC 2023-10-06 05:59:12.512388,In0: 5.25	 In1: 7.50	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,7.50,0.00,0.00,166
UTC 2023-10-06 05:59:12.518709,In0: 5.06	 In1: 7.87	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,7.87,-0.19,0.00,142
UTC 2023-10-06 05:59:12.525703,In0: 5.25	 In1: 8.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.06,0.00,0.00,142
UTC 2023-10-06 05:59:12.532585,In0: 5.06	 In1: 8.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,8.44,0.00,0.00,142
UTC 2023-10-06 05:59:12.539330,In0: 5.25	 In1: 8.06	 In0_1: 0.00	 In1_1: -0.19	 FPS: 166,5.25,8.06,0.00,-0.19,166
UTC 2023-10-06 05:59:12.549064,In0: 5.25	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.25,6.75,0.00,0.19,142
UTC 2023-10-06 05:59:12.552755,In0: 5.06	 In1: 8.44	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,8.44,-0.19,0.00,142
UTC 2023-10-06 05:59:12.559492,In0: 5.06	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.69,0.00,0.00,142
UTC 2023-10-06 05:59:12.566237,In0: 5.06	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.31,0.00,0.00,142
UTC 2023-10-06 05:59:12.572950,In0: 5.06	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,6.75,0.00,0.00,166
UTC 2023-10-06 05:59:12.579885,In0: 5.44	 In1: 7.50	 In0_1: -0.19	 In1_1: -0.19	 FPS: 142,5.44,7.50,-0.19,-0.19,142
UTC 2023-10-06 05:59:12.586598,In0: 5.25	 In1: 7.69	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,7.69,0.19,0.00,142
UTC 2023-10-06 05:59:12.593341,In0: 5.25	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.31,0.00,0.00,142
UTC 2023-10-06 05:59:12.600123,In0: 5.06	 In1: 7.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,7.12,0.00,0.00,166
UTC 2023-10-06 05:59:12.606898,In0: 5.06	 In1: 7.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,7.87,0.00,0.00,166
UTC 2023-10-06 05:59:12.613718,In0: 5.44	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.44,7.31,0.00,0.19,142
UTC 2023-10-06 05:59:12.620442,In0: 4.87	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,4.87,7.69,0.00,0.00,142
UTC 2023-10-06 05:59:12.627238,In0: 5.44	 In1: 7.50	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.44,7.50,0.00,-0.19,142
UTC 2023-10-06 05:59:12.634155,In0: 5.44	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.19	 FPS: 166,5.44,7.69,0.00,0.19,166
UTC 2023-10-06 05:59:12.640729,In0: 5.06	 In1: 7.31	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,7.31,-0.19,0.00,142
UTC 2023-10-06 05:59:12.647653,In0: 5.06	 In1: 7.12	 In0_1: 0.19	 In1_1: -0.19	 FPS: 142,5.06,7.12,0.19,-0.19,142
UTC 2023-10-06 05:59:12.654410,In0: 5.25	 In1: 7.87	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,7.87,0.19,0.00,142
UTC 2023-10-06 05:59:12.661485,In0: 5.25	 In1: 8.06	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,8.06,0.00,0.00,166
UTC 2023-10-06 05:59:12.667949,In0: 5.06	 In1: 8.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,8.44,0.00,0.00,166
UTC 2023-10-06 05:59:12.674819,In0: 5.44	 In1: 7.69	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.44,7.69,0.00,0.19,142
UTC 2023-10-06 05:59:12.681604,In0: 5.44	 In1: 8.06	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.44,8.06,-0.19,0.00,142
UTC 2023-10-06 05:59:12.688276,In0: 5.25	 In1: 7.31	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.25,7.31,0.00,-0.19,142
UTC 2023-10-06 05:59:12.695418,In0: 5.25	 In1: 7.87	 In0_1: -0.19	 In1_1: -0.19	 FPS: 166,5.25,7.87,-0.19,-0.19,166
UTC 2023-10-06 05:59:12.701897,In0: 5.06	 In1: 6.94	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.94,0.00,0.00,142
UTC 2023-10-06 05:59:12.708696,In0: 5.06	 In1: 6.00	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,6.00,-0.19,0.00,142
UTC 2023-10-06 05:59:12.716107,In0: 5.44	 In1: 6.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,6.19,0.00,0.00,142
UTC 2023-10-06 05:59:12.722353,In0: 5.25	 In1: 6.00	 In0_1: -0.19	 In1_1: 0.00	 FPS: 166,5.25,6.00,-0.19,0.00,166
UTC 2023-10-06 05:59:12.729913,In0: 5.25	 In1: 6.37	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,6.37,0.00,0.00,166
UTC 2023-10-06 05:59:12.735942,In0: 5.25	 In1: 6.75	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,6.75,0.19,0.00,142
UTC 2023-10-06 05:59:12.742654,In0: 5.06	 In1: 6.37	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,6.37,0.00,0.19,142
UTC 2023-10-06 05:59:12.749567,In0: 5.44	 In1: 6.94	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.44,6.94,0.00,0.19,142
UTC 2023-10-06 05:59:12.756296,In0: 5.44	 In1: 7.12	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.44,7.12,0.00,0.00,166
UTC 2023-10-06 05:59:12.763084,In0: 5.06	 In1: 6.56	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.06,6.56,-0.19,0.00,142
UTC 2023-10-06 05:59:12.769644,In0: 5.06	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.75,0.00,0.00,142
UTC 2023-10-06 05:59:12.776426,In0: 5.44	 In1: 6.75	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,6.75,0.00,0.00,142
UTC 2023-10-06 05:59:12.783256,In0: 5.06	 In1: 6.56	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,6.56,0.00,0.00,166
UTC 2023-10-06 05:59:12.789984,In0: 5.25	 In1: 6.75	 In0_1: 0.19	 In1_1: 0.19	 FPS: 166,5.25,6.75,0.19,0.19,166
UTC 2023-10-06 05:59:12.796737,In0: 5.25	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.25,5.62,0.19,0.00,142
UTC 2023-10-06 05:59:12.803500,In0: 5.25	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,5.81,0.00,0.00,142
UTC 2023-10-06 05:59:12.810313,In0: 5.25	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.25,5.62,0.19,0.19,142
UTC 2023-10-06 05:59:12.817120,In0: 5.25	 In1: 6.19	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,6.19,0.00,0.00,166
UTC 2023-10-06 05:59:12.823874,In0: 5.44	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.44,5.62,0.00,0.00,142
UTC 2023-10-06 05:59:12.830703,In0: 5.06	 In1: 5.81	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.81,0.00,0.00,142
UTC 2023-10-06 05:59:12.837446,In0: 5.06	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.00,0.00,0.00,142
UTC 2023-10-06 05:59:12.844188,In0: 5.06	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,6.00,0.00,0.00,166
UTC 2023-10-06 05:59:12.851165,In0: 5.06	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.06,6.00,0.00,0.00,166
UTC 2023-10-06 05:59:12.857716,In0: 5.06	 In1: 6.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,6.00,0.00,0.00,142
UTC 2023-10-06 05:59:12.864539,In0: 5.06	 In1: 5.62	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,5.62,0.00,0.00,142
UTC 2023-10-06 05:59:12.871275,In0: 5.06	 In1: 5.25	 In0_1: 0.00	 In1_1: 0.19	 FPS: 142,5.06,5.25,0.00,0.19,142
UTC 2023-10-06 05:59:12.878058,In0: 5.25	 In1: 5.44	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,5.25,5.44,0.00,0.00,166
UTC 2023-10-06 05:59:12.884870,In0: 5.44	 In1: 6.19	 In0_1: 0.00	 In1_1: -0.19	 FPS: 142,5.44,6.19,0.00,-0.19,142
