UTC 2023-10-06 06:15:19.251133,In0_1: 0.19	 In1_1: -0.19	 FPS: 142,0.19,-0.19,142,PSI:0.038,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.420620,In0: 5.25	 In1: 8.06	 In0_1: 0.75	 In1_1: 0.19	 FPS: 142,5.25,8.06,0.75,0.19,142,PSI:1.05,PSI:1.612,PSI:0.15,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:15:19.427510,In0: 5.06	 In1: 7.87	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.06,7.87,0.37,0.00,142,PSI:1.012,PSI:1.574,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.434481,In0: 5.06	 In1: 7.31	 In0_1: 0.19	 In1_1: 0.19	 FPS: 142,5.06,7.31,0.19,0.19,142,PSI:1.012,PSI:1.462,PSI:0.038,PSI:0.038,PSI:28.4
UTC 2023-10-06 06:15:19.441224,In0: 5.25	 In1: 7.87	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.25,7.87,0.37,0.00,166,PSI:1.05,PSI:1.574,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.447857,In0: 5.25	 In1: 7.31	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,7.31,0.00,0.00,142,PSI:1.05,PSI:1.462,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.454546,In0: 5.25	 In1: 8.63	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.63,0.00,0.00,142,PSI:1.05,PSI:1.7260000000000002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.462087,In0: 5.06	 In1: 7.87	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.06,7.87,0.00,0.00,142,PSI:1.012,PSI:1.574,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.468390,In0: 5.06	 In1: 7.31	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.06,7.31,0.37,0.00,166,PSI:1.012,PSI:1.462,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.475314,In0: 5.25	 In1: 8.06	 In0_1: 0.37	 In1_1: 0.00	 FPS: 166,5.25,8.06,0.37,0.00,166,PSI:1.05,PSI:1.612,PSI:0.074,PSI:0.0,PSI:33.2
UTC 2023-10-06 06:15:19.481887,In0: 5.25	 In1: 7.69	 In0_1: 0.56	 In1_1: -0.19	 FPS: 142,5.25,7.69,0.56,-0.19,142,PSI:1.05,PSI:1.538,PSI:0.11200000000000002,PSI:-0.038,PSI:28.4
UTC 2023-10-06 06:15:19.488533,In0: 5.44	 In1: 7.69	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.44,7.69,0.37,0.00,142,PSI:1.088,PSI:1.538,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.495518,In0: 5.25	 In1: 7.50	 In0_1: 0.37	 In1_1: 0.00	 FPS: 142,5.25,7.50,0.37,0.00,142,PSI:1.05,PSI:1.5,PSI:0.074,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.502072,In0: 5.06	 In1: 7.12	 In0_1: 0.19	 In1_1: -0.19	 FPS: 166,5.06,7.12,0.19,-0.19,166,PSI:1.012,PSI:1.424,PSI:0.038,PSI:-0.038,PSI:33.2
UTC 2023-10-06 06:15:19.509330,In0: 5.25	 In1: 8.25	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,5.25,8.25,0.00,0.00,142,PSI:1.05,PSI:1.65,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.515952,In0: 5.25	 In1: 8.25	 In0_1: 0.56	 In1_1: 0.00	 FPS: 142,5.25,8.25,0.56,0.00,142,PSI:1.05,PSI:1.65,PSI:0.11200000000000002,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.522636,In0: 5.25	 In1: 7.31	 In0_1: -0.19	 In1_1: 0.00	 FPS: 142,5.25,7.31,-0.19,0.00,142,PSI:1.05,PSI:1.462,PSI:-0.038,PSI:0.0,PSI:28.4
UTC 2023-10-06 06:15:19.529702,In0: 5.06	 In1: 5.62	 In0_1: 0.19	 In1_1: 0.00	 FPS: 142,5.06,5.62,0.19,0.00,142,PSI:1.012,PSI:1.124,PSI:0.038,PSI:0.0,PSI:28.4
