UTC 2023-10-29 01:48:52.417800,In0: 0.08	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 200,0.08,0.01,0.00,0.00,200,PSI:0.016,PSI:0.002,PSI:0.0,PSI:0.0,PSI:40.0
UTC 2023-10-29 01:48:52.424312,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,0.01,0.00,0.00,142,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:48:52.430799,In0: 0.02	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.02,0.01,0.00,0.00,166,PSI:0.004,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.437291,In0: 0.07	 In1: 0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,0.07,0.03,0.00,0.00,142,PSI:0.014000000000000002,PSI:0.006,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:48:52.443895,In0: 0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,0.01,0.00,0.00,166,PSI:0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.450309,In0: -0.01	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 142,-0.01,0.01,0.00,0.00,142,PSI:-0.002,PSI:0.002,PSI:0.0,PSI:0.0,PSI:28.4
UTC 2023-10-29 01:48:52.456887,In0: 0.00	 In1: 0.01	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.01,0.00,0.00,166,PSI:0.0,PSI:0.002,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.462804,In0: 0.03	 In1: 0.00	 In0_1: -0.00	 In1_1: 0.00	 FPS: 166,0.03,0.00,-0.00,0.00,166,PSI:0.006,PSI:0.0,PSI:-0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.468865,In0: -0.01	 In1: -0.04	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,-0.01,-0.04,0.00,0.00,166,PSI:-0.002,PSI:-0.008,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.474295,In0: 0.01	 In1: -0.03	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.01,-0.03,0.00,0.00,166,PSI:0.002,PSI:-0.006,PSI:0.0,PSI:0.0,PSI:33.2
UTC 2023-10-29 01:48:52.480851,In0: 0.02	 In1: -0.02	 In0_1: 0.00	 In1_1: -0.00	 FPS: 200,0.02,-0.02,0.00,-0.00,200,PSI:0.004,PSI:-0.004,PSI:0.0,PSI:-0.0,PSI:40.0
UTC 2023-10-29 01:48:52.487355,In0: 0.01	 In1: 0.02	 In0_1: 0.00	 In1_1: 0.00	 FPS: 125,0.01,0.02,0.00,0.00,125,PSI:0.002,PSI:0.004,PSI:0.0,PSI:0.0,PSI:25.0
UTC 2023-10-29 01:48:52.493804,In0: 0.00	 In1: 0.00	 In0_1: 0.00	 In1_1: 0.00	 FPS: 166,0.00,0.00,0.00,0.00,166,PSI:0.0,PSI:0.0,PSI:0.0,PSI:0.0,PSI:33.2
